Filename,Topic 1,Topic 2,Topic 3
611841newsML.xml,16 (0.6746809357875496),23 (0.1941668520067906),21 (0.07340667475752173)
568819newsML.xml,44 (0.8586122019462459),30 (0.05828827857179038),18 (0.03981443337944671)
611888newsML.xml,39 (0.5441389201652586),43 (0.1590204844188244),26 (0.12600723556657384)
478296newsML.xml,18 (0.5606290840651909),22 (0.31640591664103895),13 (0.06013550505637937)
571005newsML.xml,19 (0.9754999999999914),49 (0.0005000000000001706),12 (0.0005000000000001706)
478775newsML.xml,11 (0.6360418934348908),2 (0.15178627599169042),13 (0.10130076782592173)
608577newsML.xml,20 (0.3360343638347006),1 (0.2941508607072233),23 (0.1601846170027041)
694409newsML.xml,29 (0.36591945585789676),32 (0.1903695223304728),16 (0.12334568872747315)
568502newsML.xml,24 (0.28091842146703916),23 (0.27118214525202144),36 (0.16010831580663104)
611593newsML.xml,19 (0.8410856193719952),12 (0.07993545398178759),31 (0.0585441440374791)
611070newsML.xml,19 (0.980784313725486),39 (0.00039215686274518026),49 (0.0003921568627451798)
480649newsML.xml,1 (0.3998174692370332),5 (0.2440175355356856),24 (0.13825018690148144)
480680newsML.xml,39 (0.6024233891513013),32 (0.13697263586612143),15 (0.13570780224659965)
480363newsML.xml,21 (0.3139266502792932),29 (0.2691832441849021),12 (0.18223253940262826)
478069newsML.xml,39 (0.8999239664994653),19 (0.0507121591961399),3 (0.03554034489237883)
608741newsML.xml,29 (0.6198582560229331),16 (0.20611306617103894),24 (0.17085300213034807)
732076newsML.xml,41 (0.6815622030899302),24 (0.11444161416865191),5 (0.10705468945389081)
694315newsML.xml,48 (0.99029702970294),49 (0.00019801980198081893),12 (0.0001980198019808189)
571233newsML.xml,24 (0.8605236481920875),49 (0.1300645871020178),47 (0.00019607843137280545)
478543newsML.xml,24 (0.36650288755514693),20 (0.2515386458564683),23 (0.14270124265390938)
713138newsML.xml,6 (0.42153706002267494),37 (0.24068502137675846),4 (0.19237557389478305)
608788newsML.xml,13 (0.5861589736287887),16 (0.2827900467107743),22 (0.07032309455188014)
627338newsML.xml,30 (0.4923866791151313),41 (0.20039216189560105),27 (0.15331291042455)
480155newsML.xml,6 (0.7845921052134699),46 (0.13321208443498198),20 (0.053201603391200135)
478891newsML.xml,36 (0.49385012787207494),29 (0.31822938853366645),25 (0.12518591801284934)
478858newsML.xml,5 (0.3149293414755609),4 (0.14522897639256063),34 (0.13654634215651554)
611246newsML.xml,19 (0.9760975609756034),49 (0.0004878048780489041),12 (0.0004878048780489041)
568734newsML.xml,41 (0.4546545272339369),7 (0.39278256541331796),6 (0.05341936065288837)
630622newsML.xml,4 (0.7040549238762039),41 (0.19320138220141664),18 (0.057956070329992046)
480225newsML.xml,49 (0.619865182651307),24 (0.1879099030456867),23 (0.13614184436375135)
531947newsML.xml,7 (0.4002158576732128),21 (0.16355096713410658),46 (0.15509601900183567)
611136newsML.xml,19 (0.8646710361946471),25 (0.09344264992835423),30 (0.021886313876988254)
568444newsML.xml,39 (0.8547807985984626),9 (0.11060168199390776),3 (0.018410622855705123)
478319newsML.xml,8 (0.5393051018798946),33 (0.34193379855612605),13 (0.09526109956378513)
608431newsML.xml,48 (0.6990439406811649),35 (0.29198409670200576),23 (0.00018691588785061262)
732306newsML.xml,16 (0.49080038211203175),29 (0.3565586348165708),3 (0.1066795057554102)
571143newsML.xml,23 (0.7440282075432313),21 (0.15788925868541287),43 (0.08465396234276337)
478633newsML.xml,24 (0.4205978693700819),16 (0.30407013041617836),29 (0.2242596303314422)
694586newsML.xml,36 (0.5455788898235759),24 (0.26890848148473345),20 (0.1729792953583246)
568996newsML.xml,24 (0.5897731462326515),12 (0.16656675039157987),20 (0.1355803024245928)
667557newsML.xml,1 (0.4128887010678981),44 (0.3328306439218348),23 (0.16413254365811233)
611907newsML.xml,19 (0.9760975609756013),39 (0.0004878048780489472),49 (0.00048780487804894664)
568672newsML.xml,22 (0.46514594227420136),37 (0.3459165511606695),29 (0.1543169209390228)
568391newsML.xml,39 (0.8721526090426491),43 (0.09784739095713876),49 (0.0006250000000044205)
568358newsML.xml,37 (0.5048146848595464),36 (0.2762699174672241),17 (0.12368554720899254)
611300newsML.xml,19 (0.9044551904546804),46 (0.0726876666881505),49 (0.00047619047619101775)
480539newsML.xml,42 (0.6985155902235028),32 (0.1728751929246147),26 (0.11607588351852133)
480013newsML.xml,5 (0.23987073298445638),41 (0.1697853333171484),33 (0.16818837955372748)
478405newsML.xml,13 (0.3325886300746726),23 (0.3090366279035928),12 (0.20981670709432923)
608607newsML.xml,38 (0.3098944028081977),16 (0.28181618181169077),39 (0.27909617147017746)
477905newsML.xml,39 (0.8032685169103764),25 (0.1801797589515727),49 (0.0003448275862093918)
610306newsML.xml,16 (0.4516808191781815),34 (0.18380319956240887),11 (0.1553644199481062)
569397newsML.xml,46 (0.3384965582266101),4 (0.23686887839189041),23 (0.1824236366345417)
631762newsML.xml,33 (0.3680955804603298),22 (0.17645226028612288),0 (0.10324632221653544)
529688newsML.xml,9 (0.5457996030404302),5 (0.19820897716455405),21 (0.11490861984554344)
569674newsML.xml,12 (0.8476005303801506),42 (0.06226654780363969),29 (0.041842807634709905)
645306newsML.xml,20 (0.3925788421870301),14 (0.19091632256670746),30 (0.13515412438293192)
479918newsML.xml,41 (0.32883901657902814),23 (0.21612036721141498),12 (0.1571981448626183)
570659newsML.xml,25 (0.40665512284259137),23 (0.22230391881557277),29 (0.17600818211238037)
609601newsML.xml,31 (0.8025784412376766),2 (0.08808332463182038),37 (0.07452341931567107)
522765newsML.xml,30 (0.7263718476102842),8 (0.08608937629110265),16 (0.0795914887070253)
479129newsML.xml,12 (0.5792828869358382),13 (0.39671711306415475),49 (0.0005000000000001494)
479403newsML.xml,47 (0.40737164622146144),44 (0.23154722934111646),5 (0.2284555006062848)
570690newsML.xml,38 (0.4687501622963633),36 (0.2627627935191865),23 (0.1858571588672539)
570373newsML.xml,15 (0.3163169924598163),41 (0.28411179717329993),5 (0.22136848724427666)
645130newsML.xml,45 (0.37290024538758926),22 (0.3057949579085993),31 (0.20427227506371765)
570974newsML.xml,39 (0.3963999399779677),12 (0.24127855957815883),19 (0.14961776842224953)
